Key	Possible Values	Summary	Example1	Example 1 Desc	Example2	Example 2 Desc
has-funder	"{t, true, 1, f, false 0}"	includes one or more funder entry (e.g. NIH or NSF)	has-funder:t		has-funder:0	
funder	{funder_id}	match to a specific funder id				
						
prefix	{owner_prefix}	metadata belonging to a DOI owner prefix¾{owner_prefix}¾(e.g.¾10.1016)				
member	{member_id}	metadata belonging to a Crossref member				
from-index-date	{date}	metadata indexed since (inclusive)¾{date}				
until-index-date	{date}	metadata indexed before (inclusive)¾{date}				
from-deposit-date	{date}	metadata last (re)deposited since (inclusive)¾{date}				
until-deposit-date	{date}	metadata last (re)deposited before (inclusive)¾{date}				
from-update-date	{date}	Metadata updated since (inclusive)¾{date}. Currently the same as¾from-deposit-date.				
until-update-date	{date}	Metadata updated before (inclusive)¾{date}. Currently the same as¾until-deposit-date.				
from-created-date	{date}	metadata first deposited since (inclusive)¾{date}				
until-created-date	{date}	metadata first deposited before (inclusive)¾{date}				
from-pub-date	{date}	metadata where published date is since (inclusive)¾{date}				
until-pub-date	{date}	metadata where published date is before (inclusive)¾{date}				
from-online-pub-date	{date}	metadata where online published date is since (inclusive)¾{date}				
until-online-pub-date	{date}	metadata where online published date is before (inclusive)¾{date}				
from-print-pub-date	{date}	metadata where print published date is since (inclusive)¾{date}				
until-print-pub-date	{date}	metadata where print published date is before (inclusive)¾{date}				
from-posted-date	{date}	metadata where posted date is since (inclusive)¾{date}				
until-posted-date	{date}	metadata where posted date is before (inclusive)¾{date}				
from-accepted-date	{date}	metadata where accepted date is since (inclusive)¾{date}				
until-accepted-date	{date}	metadata where accepted date is before (inclusive)¾{date}				
has-license		metadata that includes any¾<license_ref>¾elements.				
license.url	{url}	metadata where¾<license_ref>¾value equals¾{url}				
license.version	{string}	metadata where the¾<license_ref>'s¾applies_to¾attribute is¾{string}				
license.delay	{integer}	metadata where difference between publication date and the¾<license_ref>'s¾start_date¾attribute is <=¾{integer}¾(in days)				
has-full-text		metadata that includes any full text¾<resource>¾elements.				
full-text.version	{string}	metadata where¾<resource>¾element's¾content_version¾attribute is¾{string}.				
full-text.type	{mime_type}	metadata where¾<resource>¾element's¾content_type¾attribute is¾{mime_type}¾(e.g.¾application/pdf).				
full-text.application	{string}	"metadata where¾<resource>¾link has one of the following intended applications:¾text-mining,¾similarity-checking¾or¾unspecified"				
has-references		metadata for works that have a list of references				
reference-visibility	"[open, limited, closed]"	"metadata for works where references are either¾open,¾limited¾(to¾Metadata Plus subscribers) or¾closed"				
has-archive		metadata which include name of archive partner				
archive	{string}	metadata which where value of archive partner is¾{string}				
has-orcid		metadata which includes one or more ORCIDs				
has-authenticated-orcid		metadata which includes one or more ORCIDs where the depositing publisher claims to have witness the ORCID owner authenticate with ORCID				
orcid	{orcid}	metadata where¾<orcid>¾element's value =¾{orcid}				
issn	{issn}	metadata where record has an ISSN =¾{issn}. Format is¾xxxx-xxxx.				
isbn	{isbn}	metadata where record has an ISBN =¾{issn}.				
type	{type}	metadata records whose type =¾{type}. Type must be an ID value from the list of types returned by the¾/types¾resource				
directory	{directory}	metadata records whose article or serial are mentioned in the given¾{directory}. Currently the only supported value is¾doaj.				
doi	{doi}	metadata describing the DOI¾{doi}				
updates	{doi}	metadata for records that represent editorial updates to the DOI¾{doi}				
is-update		metadata for records that represent editorial updates				
has-update-policy		metadata for records that include a link to an editorial update policy				
container-title		metadata for records with a publication title exactly with an exact match				
category-name		exact matching category label from a list published by Scopus				
type		metadata for records with type matching a type identifier (e.g.¾journal-article)				
type-name		exact matching type label				
award.number	{award_number}	Optionally combine with award.funder				
award.funder	{funder doi or id}	metadata for records with an award with matching funder. Optionally combine with¾award.number				
has-assertion		?? These look like notes made by the publisher				
assertion-group		metadata for records with an assertion in a particular group				
assertion		metadata for records with a particular named assertion				
has-affiliation		metadata for records that have any affiliation information				
alternative-id		"may be a publisher-specific ID, or any other identifier a publisher may have provided"				
article-number		metadata for records with a given article number				
has-abstract		metadata for records which include an abstract				
has-clinical-trial-number						
content-domain		"See ""has-content-domain"""	content-domain:link.springer.com		content-domain:wiley.com	
has-content-domain		where publisher records a domain name location for Crossmark content				
has-domain-restriction	{bool}	metadata where the publisher restricts Crossmark usage to content domains				
has-relation	{bool}	metadata for records that either assert or are the object of a relation				
relation.type						
relation.object		Relations where the object identifier matches the identifier provided				
relation.object-type		"One of the identifier types from the Crossref relations schema (e.g.¾doi,¾issn)"				
