Fields	Notes
"'based-on-data',"	
" 'compiles',"	
" 'continues',"	
" 'documents',"	
" 'has-comment',"	
" 'has-derivation',"	
" 'has-expression',"	
" 'has-format',"	
" 'has-manifestation',"	
" 'has-manuscript',"	
" 'has-part',"	
" 'has-preprint',"	
" 'has-related-material',"	
" 'has-reply',"	
" 'has-review',"	
" 'has-translation',"	
" 'has-version',"	
" 'is-based-on',"	
" 'is-basis-for',"	
" 'is-comment-on',"	
" 'is-compiled-by',"	
" 'is-continued-by',"	
" 'is-data-basis-for',"	Has only 2 result as of May 2018
" 'is-derived-from',"	
" 'is-documented-by',"	
" 'is-expression-of',"	
" 'is-identical-to',"	
" 'is-manifestation-of',"	
" 'is-manuscript-of',"	
" 'is-original-form-of',"	
" 'is-part-of',"	
" 'is-preprint-of',"	
" 'is-referenced-by',"	
" 'is-related-material',"	
" 'is-replaced-by',"	
" 'is-reply-to',"	
" 'is-required-by',"	
" 'is-review-of',"	
" 'is-same-as',"	
" 'is-supplement-to',"	
" 'is-supplemented-by',"	
" 'is-translation-of',"	
" 'is-varient-form-of',"	
" 'is-version-of',"	
" 'references',"	
" 'replaces',"	
 'requires'	
