Key	Possible Values	Summary	Example1	Example2
has-funder	"{t, true, 1, f, false 0}"	metadata which includes one or more funder entry	has-funder:t	has-funder:0
funder	{funder_id}	metadata which include the {funder_id} in FundRef data		
location	{country_name}	funder records where location = {country name}. Only works on /funders route		
prefix	{owner_prefix}	metadata belonging to a DOI owner prefix {owner_prefix} (e.g. 10.1016)		
member	{member_id}	metadata belonging to a Crossref member		
from-index-date	{date}	metadata indexed since (inclusive) {date}		
until-index-date	{date}	metadata indexed before (inclusive) {date}		
from-deposit-date	{date}	metadata last (re)deposited since (inclusive) {date}		
until-deposit-date	{date}	metadata last (re)deposited before (inclusive) {date}		
from-update-date	{date}	Metadata updated since (inclusive) {date}. Currently the same as from-deposit-date.		
until-update-date	{date}	Metadata updated before (inclusive) {date}. Currently the same as until-deposit-date.		
from-created-date	{date}	metadata first deposited since (inclusive) {date}		
until-created-date	{date}	metadata first deposited before (inclusive) {date}		
from-pub-date	{date}	metadata where published date is since (inclusive) {date}		
until-pub-date	{date}	metadata where published date is before (inclusive) {date}		
from-online-pub-date	{date}	metadata where online published date is since (inclusive) {date}		
until-online-pub-date	{date}	metadata where online published date is before (inclusive) {date}		
from-print-pub-date	{date}	metadata where print published date is since (inclusive) {date}		
until-print-pub-date	{date}	metadata where print published date is before (inclusive) {date}		
from-posted-date	{date}	metadata where posted date is since (inclusive) {date}		
until-posted-date	{date}	metadata where posted date is before (inclusive) {date}		
from-accepted-date	{date}	metadata where accepted date is since (inclusive) {date}		
until-accepted-date	{date}	metadata where accepted date is before (inclusive) {date}		
has-license		metadata that includes any <license_ref> elements.		
license.url	{url}	metadata where <license_ref> value equals {url}		
license.version	{string}	metadata where the <license_ref>'s applies_to attribute is {string}		
license.delay	{integer}	metadata where difference between publication date and the <license_ref>'s start_date attribute is <= {integer} (in days)		
has-full-text		metadata that includes any full text <resource> elements.		
full-text.version	{string}	metadata where <resource> element's content_version attribute is {string}.		
full-text.type	{mime_type}	metadata where <resource> element's content_type attribute is {mime_type} (e.g. application/pdf).		
full-text.application	{string}	"metadata where <resource> link has one of the following intended applications: text-mining, similarity-checking or unspecified"		
has-references		metadata for works that have a list of references		
reference-visibility	"[open, limited, closed]"	"metadata for works where references are either open, limited (to Metadata Plus subscribers) or closed"		
has-archive		metadata which include name of archive partner		
archive	{string}	metadata which where value of archive partner is {string}		
has-orcid		metadata which includes one or more ORCIDs		
has-authenticated-orcid		metadata which includes one or more ORCIDs where the depositing publisher claims to have witness the ORCID owner authenticate with ORCID		
orcid	{orcid}	metadata where <orcid> element's value = {orcid}		
issn	{issn}	metadata where record has an ISSN = {issn}. Format is xxxx-xxxx.		
isbn	{isbn}	metadata where record has an ISBN = {issn}.		
type	{type}	metadata records whose type = {type}. Type must be an ID value from the list of types returned by the /types resource		
directory	{directory}	metadata records whose article or serial are mentioned in the given {directory}. Currently the only supported value is doaj.		
doi	{doi}	metadata describing the DOI {doi}		
updates	{doi}	metadata for records that represent editorial updates to the DOI {doi}		
is-update		metadata for records that represent editorial updates		
has-update-policy		metadata for records that include a link to an editorial update policy		
container-title		metadata for records with a publication title exactly with an exact match		
category-name		metadata for records with an exact matching category label. Category labels come from this list published by Scopus		
type		metadata for records with type matching a type identifier (e.g. journal-article)		
type-name		metadata for records with an exacty matching type label		
award.number	{award_number}	metadata for records with a matching award nunber. Optionally combine with award.funder		
award.funder	{funder doi or id}	metadata for records with an award with matching funder. Optionally combine with award.number		
has-assertion		metadata for records with any assertions		
assertion-group		metadata for records with an assertion in a particular group		
assertion		metadata for records with a particular named assertion		
has-affiliation		metadata for records that have any affiliation information		
alternative-id		"metadata for records with the given alternative ID, which may be a publisher-specific ID, or any other identifier a publisher may have provided"		
article-number		metadata for records with a given article number		
has-abstract		metadata for records which include an abstract		
has-clinical-trial-number		metadata for records which include a clinical trial number		
content-domain		metadata where the publisher records a particular domain name as the location Crossmark content will appear		
has-content-domain		metadata where the publisher records a domain name location for Crossmark content		
has-domain-restriction		metadata where the publisher restricts Crossmark usage to content domains		
has-relation		metadata for records that either assert or are the object of a relation		
relation.type		"One of the relation types from the Crossref relations schema (e.g. is-referenced-by, is-parent-of, is-preprint-of)"		
relation.object		Relations where the object identifier matches the identifier provided		
relation.object-type		"One of the identifier types from the Crossref relations schema (e.g. doi, issn)"		
